	nonstereo_aromatic_smiles
1050	CC1(C(C1C(=O)OC(C#N)c2ccc(c(c2)Oc3ccccc3)F)C=C(Cl)Cl)C
1051	CCCSCCC
1052	CCCCCC=C
1053	CCC(C)(C)CC
1054	c1ccc2c(c1)nc(s2)S
1055	c1ccc2ccccc2c1
1056	C1C=CCC2C1C(=O)N(C2=O)SC(C(Cl)Cl)(Cl)Cl
1057	C=Cc1ccccc1
1058	Cc1ccccc1O
1059	c1ccc2c(c1)CCC2
1060	CCCC(C)C1(C(=O)NC(=O)NC1=O)CC
1061	CC(C)OC(=O)C(c1ccc(cc1)Cl)(c2cccc(c2)Cl)O
1062	CNC(=O)Oc1ccccc1C2OCCO2
1063	CCS
1064	COP(=S)(OC)Oc1cc(c(cc1Cl)I)Cl
1065	CC=C
1066	CCCCCCC=C
1067	Cc1cc2ccccc2cc1C
1068	C(C1C(C(C(C(O1)O)O)O)O)O
1069	COc1ccc(cc1)[N+](=O)[O-]
1070	CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])C(C)C)[N+](=O)[O-]
1071	Cc1c[nH]c2c1cccc2
1072	CC(C)C=C
1073	C(Br)Br
1074	c1cc(cc(c1)Br)Cl
1075	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl
1076	CCC#N
1077	CS(=O)(=O)c1ccc(cc1)C(C(CO)NC(=O)C(Cl)Cl)O
1078	CCOP(=S)(OCC)Oc1c(cc(c(n1)Cl)Cl)Cl
1079	CCCCCCCC(=O)OCN1C(=O)C(NC1=O)(c2ccccc2)c3ccccc3
1080	COC(=O)c1ccccc1OC2C(C(C(C(O2)COC3C(C(C(CO3)O)O)O)O)O)O
1081	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O
1082	CC(C)(C)C(=O)C(n1cncn1)Oc2ccc(cc2)Cl
1083	CCCCCCCCCCCCCCCCCCO
1084	c1cc(c(cc1c2cc(ccc2Cl)Cl)Cl)Cl
1085	c1ccc-2c(c1)Cc3c2cccc3
1086	Cc1cc(cc(c1)OC(=O)NC)C
1087	c1ccc2cnccc2c1
1088	CCN1c2c(cccn2)C(=O)N(c3c1nc(cc3)Cl)C
1089	c1ccc(cc1)CO
1090	CCCC(=O)C
1091	CCOc1ccccc1
1092	CCCCCCCCCCCCO
1093	CCOC(=O)NCCOc1ccc(cc1)Oc2ccccc2
1094	c1cc(c(c(c1)Cl)c2ccc(cc2)Cl)Cl
1095	c1cc(ccc1F)F
1096	c1c[nH]c(=O)nc1N
1097	c1cc2cccc3c2c(c1)c4cccc5c4c3ccc5
1098	CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O
1099	c1ccc2c(c1)CCCC2
1100	c1cc(cc(c1)N2CC(C(C2=O)Cl)CCl)C(F)(F)F
1101	CCOC1C(c2cc(ccc2O1)OS(=O)(=O)C)(C)C
1102	CCC#CCC
1103	c1cc(ccc1N)Cl
1104	Cc1ccc(cc1)S(=O)(=O)N
1105	CN(C(=O)Nc1ccc(c(c1)Cl)Br)OC
1106	CCCc1ccccc1
1107	CC12CCC(=O)C=C1CCC3C2C(=O)CC4(C3CCC4(C(=O)CO)O)C
1108	CC1CCC(C(=O)C1)C(C)C
1109	CC(=O)N(C)C
1110	c1cnc2c(n1)cnc(n2)O
1111	CC1C2CCC3(C=CC(=O)C(=C3C2OC1=O)C)C
1112	C1CC(=O)NC1=O
1113	CC1CCCCC1
1114	CCNc1nc(nc(n1)SC)NC(C)(C)C
